"ce","k"
0.384699714173592,1
0.35563441879259,2
0.329882153907466,3
0.316006211713051,4
0.302153278158021,5
0.290532909045006,6
0.279282934618418,7
0.268349258745071,8
0.25756045563444,9
0.250921458052955,10
0.24535091641878,11
0.241314288080125,12
0.237250407615159,13
0.234720757849294,14
0.232257939533966,15
0.22968689360139,16
0.228888354600547,17
0.228008132398909,18
0.22726760054373,19
0.227756803607726,20
0.227895267554264,21
0.229409974432673,22
0.23160877409212,23
0.234438676472962,24
0.239719314751293,25
